Updated: 03/03/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greyed out if the CES parts have been amended out and there's nothing to see,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB 152,Beall,1/22/2019,Returned to Secretary,Returned to Secretary of Senate pursuant to Joint Rule 56.,2/3/2020,Active Transportation Program.,Transportation: Infrastructure (non-EV),"bill would require that 75% 60% of available funds be awarded to projects selected by MPOs in urban areas with populations greater than 200,000, with the available funds distributed to each MPO based on its relative share of the population, 15% to fund projects in small urban and rural regions, and 10% 25% to projects of a transformative nature competitively awarded by the commission on a statewide basis. provisions for differently sized areas",Section 2382 of the Streets and Highways Code is amended ,"(c) The guidelines shall include a process to ensure that no less than 25 percent of overall program funds benefit disadvantaged communities during each program cycle. The guidelines shall establish a program definition for disadvantaged communities that may include, but shall not be limited to, the description in Section 39711 of the Health and Safety Code and the definition of low-income schools in paragraph (7) of subdivision (b) of former Section 2333.5, as that section read on January 1, 2013. A project eligible under this subdivision shall clearly demonstrate a benefit to a disadvantaged community or be directly located in a disadvantaged community.",HSC,Program eligibility,Section 2382 of the Streets and Highways Code is amended,"(g) In developing the guidelines with regard to project selection, the commission shall include include, but need not be limited to, the following criteria, unless the particular criteria does not apply to the type of project:...
(7) (A) Benefit to disadvantaged communities. In
(B) In developing guidelines relative to this paragraph, the commission shall consider, but shall not be limited to, the definition of disadvantaged communities as applied pursuant to subdivision (c).
(C) In developing regional guidelines pursuant to paragraph (1) of subdivision (l) relative to this paragraph, a metropolitan planning organization shall consider the definitions of disadvantaged communities included in the state guidelines adopted by the commission. A metropolitan planning organization may adopt an additional definition of disadvantaged communities within its regional guidelines if the commission, in consultation with the metropolitan planning organization, reviews and approves that definition.
(D) A metropolitan planning organization that performs the competitive project selection process in accordance with guidelines adopted by the commission for metropolitan planning organizations shall track and report to the commission the projects that it selects that benefit disadvantaged communities in each program cycle.",HSC by proxy,"Defining a community, Program eligibility",,,,,,,,,,,,,,,,,,,,,,,,,,active transportation program with funds for MPOs. text about how disadvantaged communities can be defined by the MPO but should consider the state DACs
AB 1402,Petrie-Norris,2/22/2019,Filed,From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.,2/3/2020,Active Transportation Program.,Transportation: Infrastructure (non-EV),"bill would require that 75% 60% of available funds be awarded to projects selected by MPOs in urban areas with populations greater than 200,000, with the available funds distributed to each MPO based on its relative share of the population, 15% to fund projects in small urban and rural regions, and 10% 25% to projects of a transformative nature competitively awarded by the commission on a statewide basis. provisions for differently sized areas",Section 2382 of the Streets and Highways Code is amended ,"(c) The guidelines shall include a process to ensure that no less than 25 percent of overall program funds benefit disadvantaged communities during each program cycle. The guidelines shall establish a program definition for disadvantaged communities that may include, but shall not be limited to, the description in Section 39711 of the Health and Safety Code and the definition of low-income schools in paragraph (7) of subdivision (b) of former Section 2333.5, as that section read on January 1, 2013. A project eligible under this subdivision shall clearly demonstrate a benefit to a disadvantaged community or be directly located in a disadvantaged community.",HSC,Program eligibility,Section 2382 of the Streets and Highways Code is amended,"(g) In developing the guidelines with regard to project selection, the commission shall include, but need not be limited to, the following criteria: (7) Benefit to disadvantaged communities. In developing guidelines relative to this paragraph, the commission shall consider, but shall not be limited to, the definition of disadvantaged communities as applied pursuant to subdivision (c).",HSC by proxy,"Defining a community, Program eligibility",Section 2380 of the Streets and Highways Code is amended,"There is hereby established the Active Transportation Program in the department for the purpose of encouraging increased use of active modes of transportation, such as biking and walking. It is the intent of the Legislature that the program achieve all of the following goals:
(e) Ensure that disadvantaged communities fully share in the benefits of the program.",HSC by proxy,Program goals,,,,,,,,,,,,,,,,,,,,,,"match to SB 152, states DACs as a goal and doesn't have as many provisions around changing the DAC definition"
SB 1429,Monning,2/21/2020,"Amended out of the bill, Held in Committee",From committee without further action.,11/30/2020,"Production or cultivation of cannabis, cannabis products, or industrial hemp: environmental violations.",Agriculture,"This bill would instead make these provisions applicable to activities conducted in connection with the production or cultivation of cannabis, cannabis products, or industrial hemp. The bill would require this 40% increment to be deposited in the Fish Game Preservation Fund and used for specified activities if the violation occurred on land that the person owns, leases, or otherwise uses or occupies with the consent of the landowner.",SECTION 1.Section 1320 of the Fish and Game Code is amended to read:,"(2)Each public member shall have demonstrated interest and expertise in land acquisition for conservation purposes, including, but not limited to, any of the following:
(A)Experience with activities that benefit disadvantaged communities identified pursuant to Section 39711 of the Health and Safety Code.",HSC,Advisory role,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"eveything CES amended out. cannabis subject to agriculture, fish and game provisions"
AB 1001,Ting,2/21/2019,Inactive File,From Senate committee without further action.,11/30/2020,School bonds: School Disaster Resiliency Act.,Energy,"This bill would establish the School Disaster Resiliency Act, which would require the Energy Commission to administer a program to provide loans to school districts, county offices of education, and charter schools for school resiliency projects, as provided. The bill would require the Energy Commission to allocate resiliency loan funding for projects in a specified order of priority. The bill would require the Energy Commission to develop application procedures for purposes of the program, as specified, and to provide local educational agencies with preapplication funding for technical assistance. The bill would require the authority, in consultation with the commission, to adopt regulations establishing uniform terms and conditions that are required to apply equally to all projects for resiliency loan funding under these provisions. The bill would authorize the authority to adopt, amend, or repeal rules and regulations pursuant to these provisions as emergency regulations in accordance with the rulemaking provisions of the Administrative Procedure Act.
The bill would establish the School Disaster Resiliency Fund, as a continuously appropriated fund, under the administration of the Energy Commission, thereby making an appropriation. The bill would authorize the authority to issue up to $1,000,000,000 in revenue bonds and require the bond revenues be deposited in the fund to be used for purposes of the loan program described above. The bill would also require that loan repayments, fees, and penalties be deposited in the fund.",Section 17201 is added to Part 10 of Division 1 of Title 1 of the Education Code,"(h) “Priority development community” means any of the following:
(1) A disadvantaged community identified pursuant to Section 39711 of the Health and Safety Code.",HSC,Defining a community,Section 17206 is added to Part 10 of Division 1 of Title 1 of the Education Code,"17206. (a) The Energy Commission shall make resiliency loan funding to local educational agencies under this chapter in the following order of priority:
...
(2) Projects for school facilities, including school campuses, administrative offices, and operations facilities, in priority development communities that are also in high fire threat districts or in locations that have experienced at least one public safety power shutoff event, if funding for the site is not available from the equity resiliency budget of the self-generation incentive program established pursuant to Section 379.6 of the Public Utilities Code.
(3) Projects for school facilities in priority development communities that are not in high fire threat districts but are in locations that have experienced at least one public safety power shutoff event.
(4) Projects for school facilities in high fire threat districts, or in locations that have experienced at least one public safety power shutoff event, but that are not in a priority development community.",HSC by proxy,Funding prioritization,,,,,,,,,,,,,,,,,,,,,,,,,,"energy resiliency fund for schools, priority for schools in DACs"
AB 3239,Ting,2/21/2020,Held in Committee,From committee without further action.,11/30/2020,State Energy Resources Conservation and Development Commission.,Energy,"This bill would rename the commission as the Energy Commission, and would make related changes. The bill would prohibit existing supplies, forms, insignias, signs, logos, uniforms, or emblems from being destroyed or changed as a result of changing the name of the commission, and would require their continued use until exhausted or unserviceable.",Section 26205.5 of the Public Resources Code is amended,"26205.5. (a) Of the moneys provided to the Job Creation Fund for purposes of paragraph (1) of subdivision (a) of Section 26205, the available remaining funds, which are the funds allocated to a local educational agency that has not submitted an energy expenditure plan, as determined by the Energy Commission as of March 1, 2018, shall be appropriated as follows:
(1) The first seventy-five million dollars ($75,000,000) shall be provided to school districts, county offices of education, and joint power authorities currently operating home-to-school transportation programs on behalf of local educational agencies for grants or loans for schoolbus retrofit or replacement through a program administered by the Energy Commission, in consultation with the State Air Resources Board.
(A) Priority shall be given to school districts, county offices of education, and joint power authorities currently operating home-to-school transportation programs on behalf of local educational agencies operating the oldest schoolbuses or schoolbuses operating in disadvantaged communities, as identified pursuant to Section 39711 of the Health and Safety Code, as determined by the State Air Resources Board, and to school districts, county offices of education, or joint power authorities currently operating home-to-school transportation programs on behalf of local educational agencies with a majority of pupils eligible for free or reduced-price meals in the prior year.",HSC,Program prioritization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"renaming the energy commission, meant renaming all the codes with the former name. no substantive change"
AB 65,Petrie-Norris,12/3/2018,Enacted,,9/27/2019,Coastal protection: climate adaption: project prioritization: natural infrastructure: local general plans.,"Planning, Sea level rise","This bill would require specified things of the conservancy when it allocates any funding appropriated pursuant to the act, including that it prioritize projects that use natural infrastructure, as defined, in coastal communities to help adapt to climate change. The bill would require the conservancy to provide information to the Office of Planning and Research on any projects funded pursuant to the above provision to be considered for inclusion into the clearinghouse for climate adaption information. The bill would authorize the conservancy to provide technical assistance to coastal communities to better assist them with their projects that use natural infrastructure.",Section 65302 of the Government Code is amended,"(4) For purposes of this subdivision, the following terms shall apply:
(A) “Disadvantaged communities” means an area identified by the California Environmental Protection Agency pursuant to Section 39711 of the Health and Safety Code or an area that is a low-income area that is disproportionately affected by environmental pollution and other hazards that can lead to negative health effects, exposure, or environmental degradation.",HSC,Defining a community,Section 65302 of the Government Code is amended,"(h) (1) An environmental justice element, or related goals, policies, and objectives integrated in other elements, that identifies disadvantaged communities within the area covered by the general plan of the city, county, or city and county, if the city, county, or city and county has a disadvantaged community. The environmental justice element, or related environmental justice goals, policies, and objectives integrated in other elements, shall do all of the following:
(A) Identify objectives and policies to reduce the unique or compounded health risks in disadvantaged communities by means that include, but are not limited to, the reduction of pollution exposure, including the improvement of air quality, and the promotion of public facilities, food access, safe and sanitary homes, and physical activity.
(B) Identify objectives and policies to promote civic engagement in the public decisionmaking process.
(C) Identify objectives and policies that prioritize improvements and programs that address the needs of disadvantaged communities.",HSC by proxy,"Program goals, Mitigation",Section 71154 of the Public Resources Code is amended,"To address the vulnerabilities identified in the plan, state agencies shall work to maximize, where applicable and feasible, all of the following objectives:...
(h) Promoting actions to ensure healthy soils and sustainable agriculture; inform reliable transportation planning; improve emergency management response across sectors; ensure sufficient, reliable, and safe energy; improve capacity to reduce and respond to public health threats; address the impacts of climate change on disadvantaged communities; and protect cultural resources from the impacts of climate change.",HSC by proxy,Program goals,,,,,,,,,,,,,,,,,,,,,,"bill providing support for nature infrastructure to include coastal communities. no changes to DACs, just part of the general plan code"
SB 99,Nielsen,1/10/2019,Enacted,,8/30/2019,General plans: safety element: emergency evacuation routes,Planning,"This bill would require the city or county, upon the next revision of the housing element on or after January 1, 2020, to review and update the safety element to include information identifying residential developments in hazard areas that do not have at least 2 emergency evacuation routes. By increasing the duties of local officials, this bill would impose a state-mandated local program.",Section 65302 of the Government Code is amended,"(4) For purposes of this subdivision, the following terms shall apply:
(A) “Disadvantaged communities” means an area identified by the California Environmental Protection Agency pursuant to Section 39711 of the Health and Safety Code or an area that is a low-income area that is disproportionately affected by environmental pollution and other hazards that can lead to negative health effects, exposure, or environmental degradation.",HSC,Defining a community,Section 65302 of the Government Code is amended,"(h) (1) An environmental justice element, or related goals, policies, and objectives integrated in other elements, that identifies disadvantaged communities within the area covered by the general plan of the city, county, or city and county, if the city, county, or city and county has a disadvantaged community. The environmental justice element, or related environmental justice goals, policies, and objectives integrated in other elements, shall do all of the following:
(A) Identify objectives and policies to reduce the unique or compounded health risks in disadvantaged communities by means that include, but are not limited to, the reduction of pollution exposure, including the improvement of air quality, and the promotion of public facilities, food access, safe and sanitary homes, and physical activity.
(B) Identify objectives and policies to promote civic engagement in the public decisionmaking process.
(C) Identify objectives and policies that prioritize improvements and programs that address the needs of disadvantaged communities.",HSC by proxy,"Program goals, Mitigation",,,,,,,,,,,,,,,,,,,,,,,,,,
AB 2262,Berman,2/14/2020,Held in Committee,From committee without further action.,11/30/2020,Greenhouse gases: zero-emission vehicle charging or fueling infrastructure: statewide assessment and zero-emission readiness plans.,Transportation: ZEV,"This bill, on and after January 1, 2021, would require the assessment to consider the different electric vehicle charging infrastructure needs of metropolitan planning areas. The bill would require each metropolitan transportation organization to submit to the commission a zero-emission readiness plan, as specified. By imposing additional duties on metropolitan transportation organizations, this bill would impose a state-mandated local program.",Section 25229 of the Public Resources Code is amended ,"(f) Each metropolitan transportation organization shall submit to the commission a zero-emission readiness plan for purposes of completing the assessment pursuant to this section. The zero-emission readiness plan shall include all of the following:..
(5) An assessment of zero-emission vehicle charging and fueling needs of low-income communities, as defined in Section 39713 of the Health and Safety Code, or disadvantaged communities identified pursuant to Section 39711 of the Health and Safety Code.",HSC,Requires CES to be used in analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inclusion of assessment of ZEV needs in DACs
SB 295,McGuire and Aguiar-Curry and Friedman,2/14/2019,"Amended out of the bill, Held in Committee",From Assembly without further action.,11/30/2020,Personal income taxes: Fire Safe Home Tax Credits.,Finance,"This bill would allow credits against the tax imposed by the Personal Income Tax Law for each taxable year beginning on or after January 1, 2020, and before January 1, 2025, to a qualified taxpayer for qualified costs relating to qualified home hardening, as defined, and for qualified costs relating to qualified vegetation management, as defined, in specified amounts. The bill also would include additional information required for any bill authorizing a new income tax credit and would require the Legislative Analyst’s Office to prepare a written report regarding the credits, as provided.",Section 65302 of the Government Code is amended,"(4)For purposes of this subdivision, the following terms shall apply:
(A)“Disadvantaged communities” means an area identified by the California Environmental Protection Agency pursuant to Section 39711 of the Health and Safety Code or an area that is a low-income area that is disproportionately affected by environmental pollution and other hazards that can lead to negative health effects, exposure, or environmental degradation.",HSC,Defining a community,Section 65302 of the Government Code is amended,"(h) (1) An environmental justice element, or related goals, policies, and objectives integrated in other elements, that identifies disadvantaged communities within the area covered by the general plan of the city, county, or city and county, if the city, county, or city and county has a disadvantaged community. The environmental justice element, or related environmental justice goals, policies, and objectives integrated in other elements, shall do all of the following:
(A) Identify objectives and policies to reduce the unique or compounded health risks in disadvantaged communities by means that include, but are not limited to, the reduction of pollution exposure, including the improvement of air quality, and the promotion of public facilities, food access, safe and sanitary homes, and physical activity.
(B) Identify objectives and policies to promote civic engagement in the public decisionmaking process.
(C) Identify objectives and policies that prioritize improvements and programs that address the needs of disadvantaged communities.",HSC by proxy,"Program goals, Mitigation",,,,,,,,,,,,,,,,,,,,,,,,,,DACs and general code language amended out. became a personal income tax credit for doing things that prevent fire around home
AB 2894,McCarty,2/21/2020,Held in Committee,From committee without further action.,11/30/2020,General plans: early childhood education facilities.,Planning,"This bill would require, upon the next revision of the land use element on or after January 1, 2022, the land use to be revised and updated to address the need for early childhood facilities. The bill would require the update and revision to include, among other things, information regarding the location and capacity of existing early childhood education facilities and the barriers to locating and increasing the capacity of existing and any needed future early childhood education facilities. The bill would require the element include a set of goals, policies, and objectives based on that information and a set of feasible implementation measures designed to carry out those goals, policies, and objectives. By adding to the duties of county and city officials, this bill would impose a state-mandated local program.
This bill would require the Office of Planning and Research to, by January 1, 2022, prepare and make available advisory guidelines regarding planning for early childhood education facilities. The bill would require the guidelines to include, among other things, existing examples of best practices for the location and capacity of early childhood education facilities and identification of existing sources of data and other information about assessing the need for early childhood education facilities.",Section 65302 of the Government Code is amended,"(4)For purposes of this subdivision, the following terms shall apply:
(A)“Disadvantaged communities” means an area identified by the California Environmental Protection Agency pursuant to Section 39711 of the Health and Safety Code or an area that is a low-income area that is disproportionately affected by environmental pollution and other hazards that can lead to negative health effects, exposure, or environmental degradation.",HSC,Defining a community,Section 65302 of the Government Code is amended,"(h) (1) An environmental justice element, or related goals, policies, and objectives integrated in other elements, that identifies disadvantaged communities within the area covered by the general plan of the city, county, or city and county, if the city, county, or city and county has a disadvantaged community. The environmental justice element, or related environmental justice goals, policies, and objectives integrated in other elements, shall do all of the following:
(A) Identify objectives and policies to reduce the unique or compounded health risks in disadvantaged communities by means that include, but are not limited to, the reduction of pollution exposure, including the improvement of air quality, and the promotion of public facilities, food access, safe and sanitary homes, and physical activity.
(B) Identify objectives and policies to promote civic engagement in the public decisionmaking process.
(C) Identify objectives and policies that prioritize improvements and programs that address the needs of disadvantaged communities.",HSC by proxy,"Program goals, Mitigation",,,,,,,,,,,,,,,,,,,,,,,,,,"school zone planning in general plans, typical general plan code"
SB 1183,Hertzberg,2/20/2020,Held in Committee,From committee without further action.,11/30/2020,Electric vehicle charging master plan.,Transportation: ZEV,"This bill would require the Energy Commission, as a part of each update to the assessment, to conduct an assessment of certain factors and how those factors will affect the market for and technological development of electric vehicles and infrastructure. The bill would require the Energy Commission to convene the EV Infrastructure Council, which the bill would establish, to develop develop, by January 1, 2022, an Electric Vehicle Charging Master Plan, as specified. The bill would require the Energy Commission to update the plan at least once every 2 years. The bill would establish a goal of the state to deploy no less than 250,000 publicly available electric vehicle charging station plugs by 2025 and would require the commission to develop an electric vehicle charging station deployment goal to support 5 million zero-emission vehicles by 2030.

This bill would require the Alternative and Renewable Fuel and Vehicle Technology Program and those programs and investments required by the PUC to accelerate widespread transportation electrification to be consistent with the Electric Vehicle Charging Master Plan that would be developed by the council.",Section 25328 is added to Division 15 of the Public Resources Code,(b) “Disadvantaged community” means a community that is identified as a disadvantaged community pursuant to Section 39711 of the Health and Safety Code.,HSC,Defining a community,Section 25328.3 is added to Division 15 of the Public Resources Code,"(c) The plan shall also include strategies to deploy electric vehicle charging infrastructure that do all of the following:...
(4) Prioritize the needs of low-income and disadvantaged communities so that people in those communities can access the benefits of zero-emission vehicles and infrastructure.",HSC by proxy,Program prioritization,Section 740.12 of the Public Utilities Code is amended,"(C) Widespread transportation electrification requires increased access for disadvantaged communities, low- and moderate-income communities, and other consumers of zero-emission and near-zero-emission vehicles, and increased use of those vehicles in those communities and by other consumers to enhance air quality, lower greenhouse gases emissions, and promote overall benefits to those communities and other consumers.",HSC by proxy,Program goals,,,,,,,,,,,,,,,,,,,,,,ZEV master plan and requires prioritization and consideration of DACs
SB 702,Hill,2/22/2019,Enacted,,9/29/2020,California Renewables Portfolio Standard Program: procurement.,Energy,"This bill would authorize a retail seller to rely on contracts of 10 years or more in duration or ownership agreements entered into before January 1, 2019, directly by its direct access nonprofit educational institution end-use customer for eligible renewable energy resources located in front of the customer meter to satisfy the portion of the 65% requirement attributable to the retail sales of that end-use customer.",Section 454.52 of the Public Utilities Code is amended to read:,"454.52. (a) (1) Beginning in 2017, and to be updated regularly thereafter, the commission shall adopt a process for each load-serving entity to file an integrated resource plan, and a schedule for periodic updates to the plan, and shall ensure that load-serving entities do all of the following:...
(I) Minimize localized air pollutants and other greenhouse gas emissions, with early priority on disadvantaged communities identified pursuant to Section 39711 of the Health and Safety Code.",HSC,Program goals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB 310,Santiago,1/29/2019,Inactive File,From Senate committee without further action.,11/30/2020,California Infrastructure and Economic Development Bank.,Finance,"This bill would, among other things, establish the Infrastructure and Economic Development Bank Commission and place the I-Bank under the supervision of the commission. The bill would require that the commission be comprised of the Governor, the Treasurer, the Controller, or their designees. The bill would require the commission to appoint members of the bank board, as specified. The bill would eliminate the I-Bank Fund spending limit with respect to educational facilities, environmental mitigation measures, and parks and recreational facilities.",Article 8.5 (commencing with Section 63089.85) is added to Chapter 6 of Division 1 of Title 6.7 of the Government Code,"(3) As used in this subdivision, “target borrower” means a borrower that meets at least two of the following criteria:...
(B) The borrower is located in a disadvantaged community, identified pursuant to Section 39711 of the Health and Safety Code, a rural area, or a tribal area.
(C) The borrower is a business of which at least 51 percent is owned by persons who:
(i) Lack a social security number.
(ii) Live in disadvantaged communities identified pursuant to Section 39711 of the Health and Safety Code.
(iii) Are low-income, women, indigenous, minority, immigrants, or formerly incarcerated.",HSC,"Program eligibility, Defining a community",Chapter 7 (commencing with Section 63090) is added to Division 1 of Title 6.7 of the Government Code,"(d) On or before March 1, 2021, the bank shall create a bridge loan program for local agencies serving disadvantaged communities identified pursuant to Section 39711 of the Health and Safety Code.",HSC,Program eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,economic lending and financing bill with provisions to support DACs
AB 847,Grayson,2/20/2019,"Amended out of the bill, Filed",From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.,2/3/2020,Housing: transportation-related impact fees grant program.,"Community development grants, Housing","This bill would require the department, upon appropriation by the Legislature, to establish a competitive grant program to award grants to cities and counties to offset up to 100% of any transportation-related impact fees exacted upon a qualifying housing development project, as defined, by the local jurisdiction.",.Section 2033 of the Streets and Highways Code is amended,"(c)The guidelines shall include a process to ensure that no less than 25 percent of overall program funds benefit disadvantaged communities during each program cycle. The guidelines shall establish a program definition for disadvantaged communities that may include, but need not be limited to, the definition in Section 39711 of the Health and Safety Code and the definition of low-income schools in paragraph (7) of subdivision (b) of former Section 2333.5, as that section read on January 1, 2013. A project eligible under this subdivision shall clearly demonstrate a benefit to a disadvantaged community or be directly located in a disadvantaged community.
",HSC,Funding prioritization,.Section 2033 of the Streets and Highways Code is amended,"(g)In developing the guidelines with regard to project selection, the commission shall include, but need not be limited to, the following criteria:...
(7)Benefit to disadvantaged communities. In developing guidelines relative to this paragraph, the commission shall consider, but need not be limited to, the definition of disadvantaged communities as applied pursuant to subdivision (c).",HSC,Program eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,"all DACs amended out, became a different bill"
SB 155,Bradford,1/23/2019,Enacted,,10/2/2019,California Renewables Portfolio Standard Program: integrated resource plans.,Energy,"This bill would require the commission to review each annual compliance report filed by a retail seller, to notify a retail seller if the commission has determined, based upon its review, that the retail seller may be at risk of not satisfying the renewable procurement requirements for the then-current or future compliance period, and to provide recommendations in that circumstance regarding satisfying those requirements.
This bill would expressly require the commission to ensure that load-serving entities do what is required to be done by their integrated resource plans, and ensure that load-serving entities comply with an existing requirement that at least 65% of the procurement that a retail seller counts toward the renewables portfolio standard requirement of each compliance period be from contracts of 10 years or more in duration or from its ownership or ownership agreements from eligible renewable energy resources.",Section 454.52 of the Public Utilities Code is amended to read:,"454.52. (a) (1) Beginning in 2017, and to be updated regularly thereafter, the commission shall adopt a process for each load-serving entity to file an integrated resource plan, and a schedule for periodic updates to the plan, and shall ensure that load-serving entities do all of the following:...
(I) Minimize localized air pollutants and other greenhouse gas emissions, with early priority on disadvantaged communities identified pursuant to Section 39711 of the Health and Safety Code.",HSC,Program goals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"this is the enacted version of another bill, no changes"
SB 200,Monning,1/31/2019,Enacted,,7/24/2019,Drinking water,Drinking water,Many provisions to drinking water,Chapter 7 (commencing with Section 8390) is added to Division 4.1 of the Public Utilities Code,"(b) Funds made available pursuant to subdivision (a) shall be used for the purpose of facilitating the achievement of reductions of greenhouse gas emissions in this state in accordance with the requirements of Section 39712 of the Health and Safety Code or to improve climate change adaptation and resiliency of disadvantaged communities, as defined in Section 39711 of the Health and Safety Code, or low-income households or communities, as defined in Section 39713 of the Health and Safety Code, consistent with Division 25.5 (commencing with Section 38500) of the Health and Safety Code. For purposes of the funds made available pursuant to subdivision (a), a state agency may also comply with the requirements of paragraphs (2) and (3) of subdivision (a) of Section 16428.9 of the Government Code by describing how each proposed expenditure will improve climate change adaptation and resiliency of disadvantaged communities or low-income households or communities.",HSC,Funding prioritization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB 372,Wieckowski,2/20/2019,Died,"
Died on file pursuant to Joint Rule 56.",2/3/2020,Beverage Container Recycling Act of 2020.,Waste: plastic,"would require companies of beverage containers to pay for taking back the waste, among other things",. Section 2382 of the Streets and Highways Code is amended,"(c) The guidelines shall include a process to ensure that no less than 25 percent of overall program funds benefit disadvantaged communities during each program cycle. The guidelines shall establish a program definition for disadvantaged communities that may include, but need not be limited to, the definition in Section 39711 of the Health and Safety Code and the definition of low-income schools in paragraph (7) of subdivision (b) of former Section 2333.5, as that section read on January 1, 2013. A project eligible under this subdivision shall clearly demonstrate a benefit to a disadvantaged community or be directly located in a disadvantaged community.",HSC,Funding prioritization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no change to HSC
SB 182,Jackson,1/29/2019,Vetoed,Last day to consider Governor's veto pursuant to Joint Rule 58.5.,11/30/2020,Local government: planning and zoning: wildfires.,"Planning, Climate emergency/natural hazards","many provisions around fire and plans, requires fire in natural hazard plan, places in high fire risk areas to plan further, create wildfire risk reduction planning support grants program for these jurisdictions, etc",Section 65302 of the Government Code is amended,"(4)For purposes of this subdivision, the following terms shall apply:
(A)“Disadvantaged communities” means an area identified by the California Environmental Protection Agency pursuant to Section 39711 of the Health and Safety Code or an area that is a low-income area that is disproportionately affected by environmental pollution and other hazards that can lead to negative health effects, exposure, or environmental degradation.",HSC,Defining a community,Section 65302 of the Government Code is amended,"(h) (1) An environmental justice element, or related goals, policies, and objectives integrated in other elements, that identifies disadvantaged communities within the area covered by the general plan of the city, county, or city and county, if the city, county, or city and county has a disadvantaged community. The environmental justice element, or related environmental justice goals, policies, and objectives integrated in other elements, shall do all of the following:
(A) Identify objectives and policies to reduce the unique or compounded health risks in disadvantaged communities by means that include, but are not limited to, the reduction of pollution exposure, including the improvement of air quality, and the promotion of public facilities, food access, safe and sanitary homes, and physical activity.
(B) Identify objectives and policies to promote civic engagement in the public decisionmaking process.
(C) Identify objectives and policies that prioritize improvements and programs that address the needs of disadvantaged communities.",HSC by proxy,"Program goals, Mitigation",,,,,,,,,,,,,,,,,,,,,,,,,,"just part of general plan code, no changes"
SB 101,Committee on Budget and Fiscal Review,1/10/2019,"Amended out of the bill, Held in Committee",,11/30/2020,Human services omnibus,Governance: of programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amended out, from when the bill started as drinking water bill: SEC. 10.Chapter 7 (commencing with Section 8390) is added to Division 4.1 of the Public Utilities Code, to read:
7.Designated Water System Administration
8390.A privately owned public utility may serve as an administrator for purposes of Section 116686 of the Health and Safety Code.
SEC. 11.(a)Funds appropriated by Item 3940-102-0001 and Item 3940-102-3228 of the Budget Act of 2019 shall be available for purposes outlined in Chapter 4.6 (commencing with Section 116765) of Part 12 of Division 104 of the Health and Safety Code.
(b)Funds made available pursuant to subdivision (a) shall be used for the purpose of facilitating the achievement of reductions of greenhouse gas emissions in this state in accordance with the requirements of Section 39712 of the Health and Safety Code or to improve climate change adaptation and resiliency of disadvantaged communities, as defined in Section 39711 of the Health and Safety Code, or low-income households or communities, as defined in Section 39713 of the Health and Safety Code, consistent with Division 25.5 (commencing with Section 38500) of the Health and Safety Code. For purposes of the funds made available pursuant to subdivision (a), a state agency may also comply with the requirements of paragraphs (2) and (3) of subdivision (a) of Section 16428.9 of the Government Code by describing how each proposed expenditure will improve climate change adaptation and resiliency of disadvantaged communities or low-income households or communities.",
AB 2438,Chau,2/19/2020,Held in Committee,From committee without further action,11/30/2020,California Public Records Act: conforming revisions,Governance: of programs,revises MANY codes,Section 62001 of the Government Code is amended,"(e) As an alternative to subdivision (d), an authority may also carry out a community revitalization plan within a community revitalization and investment area if it meets either of the following conditions:
(2) The census tracts or census block groups, as defined by the United States Census Bureau, within the area are situated within a disadvantaged community as described in Section 39711 of the Health and Safety Code.",HSC,Program eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no change to DACs
